DT_DATA,NR_ANO,NR_MES,NM_MES,NR_DIA,NR_DIA_SEMANA,NM_DIA_SEMANA,FLG_FINAL_SEMANA,FLG_FERIADO
2019-12-17,2019,12,December,17,3,Tuesday,false,false
2019-12-23,2019,12,December,23,2,Monday,false,false
2020-02-26,2020,2,February,26,4,Wednesday,false,false
2020-04-17,2020,4,April,17,6,Friday,false,false
2020-05-08,2020,5,May,8,6,Friday,false,false
2020-05-17,2020,5,May,17,1,Sunday,true,false
2020-07-15,2020,7,July,15,4,Wednesday,false,false
2020-07-16,2020,7,July,16,5,Thursday,false,false
2020-08-22,2020,8,August,22,7,Saturday,true,false
2020-09-02,2020,9,September,2,4,Wednesday,false,false
2021-01-09,2021,1,January,9,7,Saturday,true,false
2021-01-24,2021,1,January,24,1,Sunday,true,false
2021-01-29,2021,1,January,29,6,Friday,false,false
2021-03-09,2021,3,March,9,3,Tuesday,false,false
2021-04-30,2021,4,April,30,6,Friday,false,false
2021-06-28,2021,6,June,28,2,Monday,false,false
2021-08-28,2021,8,August,28,7,Saturday,true,false
2021-09-02,2021,9,September,2,5,Thursday,false,false
2021-09-12,2021,9,September,12,1,Sunday,true,false
2021-10-26,2021,10,October,26,3,Tuesday,false,false
2021-12-25,2021,12,December,25,7,Saturday,true,true
2022-01-08,2022,1,January,8,7,Saturday,true,false
2022-01-12,2022,1,January,12,4,Wednesday,false,false
2022-03-06,2022,3,March,6,1,Sunday,true,false
2022-04-17,2022,4,April,17,1,Sunday,true,false
2022-05-25,2022,5,May,25,4,Wednesday,false,false
2022-06-27,2022,6,June,27,2,Monday,false,false
2022-07-21,2022,7,July,21,5,Thursday,false,false
2022-10-01,2022,10,October,1,7,Saturday,true,false
2022-11-09,2022,11,November,9,4,Wednesday,false,false
2022-11-13,2022,11,November,13,1,Sunday,true,false
2022-12-24,2022,12,December,24,7,Saturday,true,false
2023-01-06,2023,1,January,6,6,Friday,false,false
2023-01-24,2023,1,January,24,3,Tuesday,false,false
2023-02-19,2023,2,February,19,1,Sunday,true,false
2023-03-24,2023,3,March,24,6,Friday,false,false
2023-04-19,2023,4,April,19,4,Wednesday,false,false
2023-05-26,2023,5,May,26,6,Friday,false,false
2023-09-29,2023,9,September,29,6,Friday,false,false
2024-04-30,2024,4,April,30,3,Tuesday,false,false
2024-05-19,2024,5,May,19,1,Sunday,true,false
2024-05-26,2024,5,May,26,1,Sunday,true,false
2024-08-09,2024,8,August,9,6,Friday,false,false
2024-10-05,2024,10,October,5,7,Saturday,true,false
2024-10-23,2024,10,October,23,4,Wednesday,false,false
2025-01-22,2025,1,January,22,4,Wednesday,false,false
2025-07-04,2025,7,July,4,6,Friday,false,false
2025-07-14,2025,7,July,14,2,Monday,false,false
2025-08-13,2025,8,August,13,4,Wednesday,false,false
2025-09-12,2025,9,September,12,6,Friday,false,false
2025-09-16,2025,9,September,16,3,Tuesday,false,false
2025-10-08,2025,10,October,8,4,Wednesday,false,false
2026-02-12,2026,2,February,12,5,Thursday,false,false
2026-08-20,2026,8,August,20,5,Thursday,false,false
2026-09-03,2026,9,September,3,5,Thursday,false,false
2027-04-30,2027,4,April,30,6,Friday,false,false
2027-06-23,2027,6,June,23,4,Wednesday,false,false
2027-07-06,2027,7,July,6,3,Tuesday,false,false
2027-07-29,2027,7,July,29,5,Thursday,false,false
2027-09-30,2027,9,September,30,5,Thursday,false,false
2027-12-03,2027,12,December,3,6,Friday,false,false
2028-02-26,2028,2,February,26,7,Saturday,true,false
2028-04-19,2028,4,April,19,4,Wednesday,false,false
2028-08-30,2028,8,August,30,4,Wednesday,false,false
2028-11-09,2028,11,November,9,5,Thursday,false,false
2029-01-26,2029,1,January,26,6,Friday,false,false
2029-04-18,2029,4,April,18,4,Wednesday,false,false
2029-06-16,2029,6,June,16,7,Saturday,true,false
2029-06-21,2029,6,June,21,5,Thursday,false,false
2029-06-28,2029,6,June,28,5,Thursday,false,false
2029-07-05,2029,7,July,5,5,Thursday,false,false
2029-11-08,2029,11,November,8,5,Thursday,false,false
2029-12-04,2029,12,December,4,3,Tuesday,false,false
2030-02-11,2030,2,February,11,2,Monday,false,false
2030-04-15,2030,4,April,15,2,Monday,false,false
2030-04-18,2030,4,April,18,5,Thursday,false,false
2030-05-15,2030,5,May,15,4,Wednesday,false,false
2030-06-01,2030,6,June,1,7,Saturday,true,false
2030-06-09,2030,6,June,9,1,Sunday,true,false
2030-06-29,2030,6,June,29,7,Saturday,true,false
2030-07-03,2030,7,July,3,4,Wednesday,false,false
2030-11-11,2030,11,November,11,2,Monday,false,false
2010-02-26,2010,2,February,26,6,Friday,false,false
2010-03-13,2010,3,March,13,7,Saturday,true,false
2010-04-01,2010,4,April,1,5,Thursday,false,false
2010-05-05,2010,5,May,5,4,Wednesday,false,false
2010-06-18,2010,6,June,18,6,Friday,false,false
2010-07-16,2010,7,July,16,6,Friday,false,false
2010-07-20,2010,7,July,20,3,Tuesday,false,false
2010-08-05,2010,8,August,5,5,Thursday,false,false
2010-09-30,2010,9,September,30,5,Thursday,false,false
2010-12-27,2010,12,December,27,2,Monday,false,false
2011-03-13,2011,3,March,13,1,Sunday,true,false
2011-05-24,2011,5,May,24,3,Tuesday,false,false
2011-05-28,2011,5,May,28,7,Saturday,true,false
2011-06-14,2011,6,June,14,3,Tuesday,false,false
2011-06-26,2011,6,June,26,1,Sunday,true,false
2011-06-30,2011,6,June,30,5,Thursday,false,false
2011-10-06,2011,10,October,6,5,Thursday,false,false
2011-12-24,2011,12,December,24,7,Saturday,true,false
2012-02-22,2012,2,February,22,4,Wednesday,false,false
2012-03-20,2012,3,March,20,3,Tuesday,false,false
2012-05-01,2012,5,May,1,3,Tuesday,false,false
2012-09-17,2012,9,September,17,2,Monday,false,false
2012-10-18,2012,10,October,18,5,Thursday,false,false
2012-10-20,2012,10,October,20,7,Saturday,true,false
2012-12-11,2012,12,December,11,3,Tuesday,false,false
2013-01-06,2013,1,January,6,1,Sunday,true,false
2013-01-28,2013,1,January,28,2,Monday,false,false
2013-02-23,2013,2,February,23,7,Saturday,true,false
2013-03-28,2013,3,March,28,5,Thursday,false,false
2013-03-30,2013,3,March,30,7,Saturday,true,false
2013-04-12,2013,4,April,12,6,Friday,false,false
2013-04-27,2013,4,April,27,7,Saturday,true,false
2013-05-17,2013,5,May,17,6,Friday,false,false
2013-05-19,2013,5,May,19,1,Sunday,true,false
2013-07-25,2013,7,July,25,5,Thursday,false,false
2013-08-01,2013,8,August,1,5,Thursday,false,false
2013-09-11,2013,9,September,11,4,Wednesday,false,false
2013-11-15,2013,11,November,15,6,Friday,false,false
2014-01-24,2014,1,January,24,6,Friday,false,false
2014-02-01,2014,2,February,1,7,Saturday,true,false
2014-06-25,2014,6,June,25,4,Wednesday,false,false
2014-07-08,2014,7,July,8,3,Tuesday,false,false
2015-04-07,2015,4,April,7,3,Tuesday,false,false
2015-05-24,2015,5,May,24,1,Sunday,true,false
2015-06-07,2015,6,June,7,1,Sunday,true,false
2015-11-03,2015,11,November,3,3,Tuesday,false,false
2015-12-17,2015,12,December,17,5,Thursday,false,false
2016-01-29,2016,1,January,29,6,Friday,false,false
2016-03-26,2016,3,March,26,7,Saturday,true,false
2016-04-09,2016,4,April,9,7,Saturday,true,false
2016-04-25,2016,4,April,25,2,Monday,false,false
2016-06-22,2016,6,June,22,4,Wednesday,false,false
2016-07-01,2016,7,July,1,6,Friday,false,false
2016-07-05,2016,7,July,5,3,Tuesday,false,false
2016-07-22,2016,7,July,22,6,Friday,false,false
2016-09-13,2016,9,September,13,3,Tuesday,false,false
2016-09-15,2016,9,September,15,5,Thursday,false,false
2016-10-09,2016,10,October,9,1,Sunday,true,false
2017-01-08,2017,1,January,8,1,Sunday,true,false
2017-02-08,2017,2,February,8,4,Wednesday,false,false
2017-02-11,2017,2,February,11,7,Saturday,true,false
2017-04-09,2017,4,April,9,1,Sunday,true,false
2017-04-24,2017,4,April,24,2,Monday,false,false
2017-05-01,2017,5,May,1,2,Monday,false,false
2017-05-24,2017,5,May,24,4,Wednesday,false,false
2017-05-25,2017,5,May,25,5,Thursday,false,false
2017-12-02,2017,12,December,2,7,Saturday,true,false
2018-05-10,2018,5,May,10,5,Thursday,false,false
2018-06-28,2018,6,June,28,5,Thursday,false,false
2018-07-30,2018,7,July,30,2,Monday,false,false
2018-08-09,2018,8,August,9,5,Thursday,false,false
2018-08-17,2018,8,August,17,6,Friday,false,false
2018-10-05,2018,10,October,5,6,Friday,false,false
2018-11-16,2018,11,November,16,6,Friday,false,false
2018-12-04,2018,12,December,4,3,Tuesday,false,false
2018-12-07,2018,12,December,7,6,Friday,false,false
2018-12-25,2018,12,December,25,3,Tuesday,false,true
2019-01-17,2019,1,January,17,5,Thursday,false,false
2019-06-20,2019,6,June,20,5,Thursday,false,false
2019-09-15,2019,9,September,15,1,Sunday,true,false
2019-09-22,2019,9,September,22,1,Sunday,true,false
2019-09-24,2019,9,September,24,3,Tuesday,false,false
2020-01-03,2020,1,January,3,6,Friday,false,false
2020-01-10,2020,1,January,10,6,Friday,false,false
2020-03-12,2020,3,March,12,5,Thursday,false,false
2020-05-11,2020,5,May,11,2,Monday,false,false
2020-07-04,2020,7,July,4,7,Saturday,true,false
2020-07-30,2020,7,July,30,5,Thursday,false,false
2020-08-06,2020,8,August,6,5,Thursday,false,false
2020-08-14,2020,8,August,14,6,Friday,false,false
2020-08-20,2020,8,August,20,5,Thursday,false,false
2020-08-27,2020,8,August,27,5,Thursday,false,false
2021-01-25,2021,1,January,25,2,Monday,false,false
2021-05-23,2021,5,May,23,1,Sunday,true,false
2021-10-30,2021,10,October,30,7,Saturday,true,false
2022-01-16,2022,1,January,16,1,Sunday,true,false
2022-05-15,2022,5,May,15,1,Sunday,true,false
2022-07-31,2022,7,July,31,1,Sunday,true,false
2022-11-03,2022,11,November,3,5,Thursday,false,false
2023-01-22,2023,1,January,22,1,Sunday,true,false
2023-03-14,2023,3,March,14,3,Tuesday,false,false
2023-03-17,2023,3,March,17,6,Friday,false,false
2023-08-07,2023,8,August,7,2,Monday,false,false
2023-10-29,2023,10,October,29,1,Sunday,true,false
2023-12-01,2023,12,December,1,6,Friday,false,false
2024-03-08,2024,3,March,8,6,Friday,false,false
2024-03-27,2024,3,March,27,4,Wednesday,false,false
2024-04-04,2024,4,April,4,5,Thursday,false,false
2024-06-26,2024,6,June,26,4,Wednesday,false,false
2024-07-21,2024,7,July,21,1,Sunday,true,false
2024-08-02,2024,8,August,2,6,Friday,false,false
2024-08-10,2024,8,August,10,7,Saturday,true,false
2024-08-19,2024,8,August,19,2,Monday,false,false
2024-08-28,2024,8,August,28,4,Wednesday,false,false
2024-09-02,2024,9,September,2,2,Monday,false,false
2024-10-06,2024,10,October,6,1,Sunday,true,false
2025-01-10,2025,1,January,10,6,Friday,false,false
2025-02-06,2025,2,February,6,5,Thursday,false,false
2025-05-29,2025,5,May,29,5,Thursday,false,false
2026-01-22,2026,1,January,22,5,Thursday,false,false
2026-03-08,2026,3,March,8,1,Sunday,true,false
2026-03-30,2026,3,March,30,2,Monday,false,false
2026-06-14,2026,6,June,14,1,Sunday,true,false
2026-11-05,2026,11,November,5,5,Thursday,false,false
2027-02-04,2027,2,February,4,5,Thursday,false,false
2027-04-13,2027,4,April,13,3,Tuesday,false,false
2027-04-29,2027,4,April,29,5,Thursday,false,false
2027-08-17,2027,8,August,17,3,Tuesday,false,false
2027-09-22,2027,9,September,22,4,Wednesday,false,false
2028-04-06,2028,4,April,6,5,Thursday,false,false
2028-05-27,2028,5,May,27,7,Saturday,true,false
2028-05-29,2028,5,May,29,2,Monday,false,false
2028-07-18,2028,7,July,18,3,Tuesday,false,false
2028-11-27,2028,11,November,27,2,Monday,false,false
2028-12-09,2028,12,December,9,7,Saturday,true,false
2029-03-25,2029,3,March,25,1,Sunday,true,false
2029-07-09,2029,7,July,9,2,Monday,false,false
2029-08-04,2029,8,August,4,7,Saturday,true,false
2029-10-07,2029,10,October,7,1,Sunday,true,false
2029-11-05,2029,11,November,5,2,Monday,false,false
2029-12-07,2029,12,December,7,6,Friday,false,false
2029-12-08,2029,12,December,8,7,Saturday,true,false
2030-01-17,2030,1,January,17,5,Thursday,false,false
2030-02-27,2030,2,February,27,4,Wednesday,false,false
2030-03-23,2030,3,March,23,7,Saturday,true,false
2030-05-04,2030,5,May,4,7,Saturday,true,false
2030-09-09,2030,9,September,9,2,Monday,false,false
2030-11-10,2030,11,November,10,1,Sunday,true,false
2010-05-17,2010,5,May,17,2,Monday,false,false
2010-05-25,2010,5,May,25,3,Tuesday,false,false
2010-06-17,2010,6,June,17,5,Thursday,false,false
